벙커하우스,제주특별자치도 서귀포시 막숙포로41번길 66
스토리빌,제주특별자치도 서귀포시 태평로92번길 39 (호근동)
제주올레횟집,제주특별자치도 서귀포시 칠십리로 45
동원리조트제주,제주특별자치도 서귀포시 솔동산로10번길 45
브릭216,제주특별자치도 서귀포시 이어도로 216
파밀리아호텔,제주특별자치도 서귀포시 대포동서로 63-20
어진이네횟집,제주특별자치도 서귀포시 보목포로 93
갯깍주상절리,제주특별자치도 서귀포시 예래해안로 357
BK호텔제주,제주특별자치도 서귀포시 칠십리로91번길 12
땡큐베리,제주특별자치도 서귀포시 칠십리로 97
쇼밥,제주특별자치도 서귀포시 보목로64번길 138
더베이리조트,제주특별자치도 서귀포시 문필로35번길 46
블루펄,제주특별자치도 서귀포시 태평로92번길 35
바다로가는길목,제주특별자치도 서귀포시 문필로 46-7 (보목동)
덕후게스트하우스,제주특별자치도 서귀포시 안덕면 화순해안로 63
소천지,제주특별자치도 서귀포시 칠십리로485번길 2
파인힐호텔,제주특별자치도 서귀포시 부두로 44
모루티,제주특별자치도 서귀포시 이어도로 986-1
피노호텔,제주특별자치도 서귀포시 천지연로29번길 5
바다해호텔,제주특별자치도 서귀포시 천지연로 3-1
하바다 통나무집,제주특별자치도 서귀포시 안덕면 대평감산로 86
내담,제주특별자치도 서귀포시 예래로 296-1
율랜드 다이브센터,제주특별자치도 서귀포시 칠십리로 490
황우지해안,제주특별자치도 서귀포시 서홍동 766-1
펜션머물다,제주특별자치도 서귀포시 논짓물로48번길 16-6
웨스티하우스,제주도 서귀포시 안덕면 일주서로 1488번길9
와이리조트 제주,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75
cafe말/개스트하우스 말,제주특별자치도 서귀포시 이어도로 450
델리지아레스토랑,"제주특별자치도 서귀포시 중문관광로 224 제주국제컨벤션센터 3F,4F"
반 고흐 인사이드,제주특별자치도 서귀포시 중문관광로 222
다이브게스트하우스,제주도 서귀포시 월드컵로 222
바닷가하얀집,제주특별자치도 서귀포시 태평로120번길 29-2
서귀포푸른바다,제주도 서귀포시 남성로128번길 37-10
에리두 Cafe n Beds,제주특별자치도 서귀포시 대포복개로 37
더블루제주,제주특별자치도 서귀포시 칠십리로 479
볼몽지엥하우스,제주특별자치도 서귀포시 보목포로1번길 10
쥬빌리펜션,제주특별자치도 서귀포시 안덕면 소기왓로 84
김마담하우스,제주도 제주시 한경면 신창4길 7-2
범섬풍경,제주특별자치도 서귀포시 속골로 26
제주다이브 게스트하우스,제주특별자치도 서귀포시 월드컵로 84
씨오르리조트,제주특별자치도 서귀포시 이어도로 989
제지기오름,제주특별자치도 서귀포시 보목동 275-1
중문승마공원,제주특별자치도 서귀포시 이어도로 244
